City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Caratinga,64,BR,1623954946,55,-19.7897,-42.1392,74.68,5.08
Dikson,100,RU,1623954726,98,73.5069,80.5464,31.66,13.4
Tiznit Province,48,MA,1623954793,74,29.5833,-9.5,64.49,12.26
Tambopata,40,PE,1623954947,61,-12.7333,-69.1833,82.29,4.61
Naples,0,IT,1623954841,70,40.8333,14.25,75.81,1.01
Saint-Philippe,57,RE,1623954758,82,-21.3585,55.7679,71.15,12.41
Nikolskoye,16,RU,1623954733,69,59.7035,30.7861,66.09,1.72
Talnakh,100,RU,1623954776,97,69.4865,88.3972,53.98,8.25
Esperance,99,AU,1623954719,60,-33.8667,121.9,53.44,6.06
Prince Rupert,90,CA,1623954947,94,54.3161,-130.3201,53.69,3.44
Itarema,6,BR,1623954755,80,-2.9248,-39.9167,81.27,14.81
Punta Arenas,0,CL,1623954560,87,-53.15,-70.9167,41.02,6.91
Rikitea,69,PF,1623954714,78,-23.1203,-134.9692,74.26,28.27
Port Elizabeth,0,ZA,1623954754,77,-33.918,25.5701,62.6,20.71
Ushuaia,0,AR,1623954860,81,-54.8,-68.3,37.06,4.61
Half Moon Bay,1,US,1623954610,52,37.4636,-122.4286,100.58,4.61
Bredasdorp,13,ZA,1623954739,72,-34.5322,20.0403,60.8,8.05
Vardø,0,NO,1623954898,76,70.3705,31.1107,46.15,5.75
Mataura,11,NZ,1623954731,97,-46.1927,168.8643,33.48,3.8
Kaitangata,45,NZ,1623954734,87,-46.2817,169.8464,41.23,6.67
Tasiilaq,40,GL,1623954720,65,65.6145,-37.6368,41.0,8.05
Nemuro,100,JP,1623954885,85,43.3236,145.575,47.44,7.58
Castro,99,BR,1623954540,68,-24.7911,-50.0119,58.48,1.74
Albany,2,US,1623954510,35,42.6001,-73.9662,75.85,1.99
Busselton,6,AU,1623954713,81,-33.65,115.3333,38.08,8.97
East London,0,ZA,1623954762,77,-33.0153,27.9116,59.94,6.91
Vaini,40,TO,1623954751,100,-21.2,-175.2,68.0,3.44
Lebu,3,CL,1623954949,68,-37.6167,-73.65,56.28,3.6
Ratnapura,97,LK,1623954949,93,6.6828,80.3992,75.79,3.18
Mar del Plata,40,AR,1623954950,65,-38.0023,-57.5575,51.01,4.0
Sarīla,100,IN,1623954950,73,25.7667,79.6833,82.11,7.02
Coyhaique,0,CL,1623954728,64,-45.5752,-72.0662,39.31,4.61
Atuona,4,PF,1623954736,73,-9.8,-139.0333,79.25,23.76
Krasnyy Luch,100,UA,1623954950,92,48.1395,38.9371,61.59,7.23
Saint Paul Harbor,90,US,1623954712,93,57.79,-152.4072,47.71,13.8
Asău,100,RO,1623954756,90,46.4333,26.4,67.12,5.88
Lagoa,100,PT,1623954793,65,39.05,-27.9833,64.74,14.12
Hermanus,70,ZA,1623954733,82,-34.4187,19.2345,59.81,7.45
Chāndbāli,100,IN,1623954883,83,20.7833,86.7667,79.92,7.99
Ughelli,100,NG,1623954951,96,5.4899,6.0074,75.04,4.0
New Norfolk,94,AU,1623954727,90,-42.7826,147.0587,52.0,1.01
Nanortalik,51,GL,1623954830,80,60.1432,-45.2371,38.39,2.86
Ponta do Sol,100,PT,1623954724,48,32.6667,-17.1,71.13,6.87
Port Alfred,0,ZA,1623954755,78,-33.5906,26.891,63.84,21.59
Greymouth,100,NZ,1623954952,84,-42.4667,171.2,45.66,9.66
Vanimo,100,PG,1623954952,88,-2.6741,141.3028,76.01,3.31
Chui,86,UY,1623954746,81,-33.6971,-53.4616,52.77,11.43
Ţahţā,0,EG,1623954803,17,26.7693,31.5021,89.92,13.94
Puerto Ayora,20,EC,1623954729,69,-0.7393,-90.3518,80.6,14.97
Cintalapa,100,MX,1623954953,99,16.6951,-93.7272,70.3,1.19
Vieste,1,IT,1623954953,66,41.8825,16.175,75.7,7.92
Severodvinsk,20,RU,1623954821,54,64.5635,39.8302,57.2,2.24
Torbay,75,CA,1623954767,79,47.6666,-52.7314,70.75,20.71
Evensk,100,RU,1623954867,89,61.95,159.2333,43.29,11.07
Longyearbyen,20,SJ,1623954819,70,78.2186,15.6401,40.84,11.5
Abu Samrah,0,SY,1623954955,50,35.3029,37.1841,70.25,10.18
Nouakchott,5,MR,1623954955,69,18.0858,-15.9785,84.13,17.94
Macia,0,MZ,1623954956,66,-25.0269,33.0989,65.44,4.74
Leningradskiy,100,RU,1623954711,91,69.3833,178.4167,37.27,4.43
George Town,20,MY,1623954674,92,5.4112,100.3354,77.9,1.99
Mbaïki,87,CF,1623954956,96,3.8678,17.9892,68.79,1.77
Nuquí,100,CO,1623954957,81,5.7125,-77.2708,80.55,7.34
Kavieng,100,PG,1623954745,73,-2.5744,150.7967,80.98,3.85
Kiryat Gat,0,IL,1623954783,16,31.61,34.7642,75.99,6.35
Kibala,20,TD,1623954957,83,9.1104,18.3463,75.15,0.0
Norman Wells,20,CA,1623954744,40,65.282,-126.8329,68.04,10.36
Guerrero Negro,8,MX,1623954782,51,27.9769,-114.0611,77.27,12.06
San Jose,20,US,1623954913,39,37.3394,-121.895,97.0,3.44
Sisimiut,100,GL,1623954957,72,66.9395,-53.6735,39.31,7.72
Ribeira Grande,75,PT,1623954714,73,38.5167,-28.7,68.4,14.97
Carnarvon,0,AU,1623954673,47,-24.8667,113.6333,48.2,9.22
Hornepayne,97,CA,1623954958,77,49.2138,-84.7705,68.85,11.88
San Patricio,40,US,1623954752,49,28.017,-97.5169,95.0,10.36
Hanover,0,DE,1623954826,37,52.3705,9.7332,89.37,3.44
Ilulissat,40,GL,1623954753,81,69.2167,-51.1,39.22,6.91
Bluff,7,NZ,1623954744,77,-46.6,168.3333,33.8,16.28
Bubaque,6,GW,1623954795,79,11.2833,-15.8333,81.66,10.98
Chokurdakh,100,RU,1623954833,67,70.6333,147.9167,41.59,8.19
Igrim,100,RU,1623954959,55,63.1906,64.4162,47.14,5.46
Vao,28,NC,1623954778,76,-22.6667,167.4833,71.22,4.81
Taltal,0,CL,1623954944,61,-25.4,-70.4833,65.43,4.76
Bethel,1,US,1623954773,38,41.3712,-73.414,77.72,13.8
Antofagasta,7,CL,1623954959,59,-23.65,-70.4,69.22,7.38
Okha,100,RU,1623954726,93,53.5739,142.9478,43.16,11.23
Boa Vista,40,BR,1623954930,58,2.8197,-60.6733,85.98,4.61
Kargasok,2,RU,1623954960,77,59.0556,80.8572,56.48,8.16
Arrondissement de Verdun,100,FR,1623954960,80,49.25,5.3333,83.17,1.07
Victoria Point,100,AU,1623954961,73,-27.5833,153.3,54.91,7.0
Batemans Bay,0,AU,1623954961,81,-35.7167,150.1833,45.99,6.35
Banda Aceh,88,ID,1623954821,79,5.5577,95.3222,78.96,9.01
Airai,67,TL,1623954764,90,-8.9266,125.4092,57.85,3.96
Talakan,100,RU,1623954962,96,50.3167,130.3667,59.7,11.03
Krasnyy Chikoy,20,RU,1623954962,86,50.3643,108.7512,45.81,7.78
Lavrentiya,89,RU,1623954775,95,65.5833,-171.0,39.11,5.17
Srednekolymsk,100,RU,1623954962,59,67.45,153.6833,51.94,16.02
Rio Grande,23,BR,1623954810,61,-32.035,-52.0986,53.71,5.53
Meulaboh,100,ID,1623954897,85,4.1363,96.1285,76.57,3.62
Mount Isa,61,AU,1623954787,33,-20.7333,139.5,59.0,10.36
Bharatpur,93,IN,1623954963,55,27.2167,77.4833,87.67,9.28
Krasnosel'kup,1,RU,1623954918,63,65.7,82.4667,57.76,9.26
Avera,0,US,1623954805,33,33.194,-82.5271,89.26,2.59
Cherskiy,70,RU,1623954728,52,68.75,161.3,47.3,13.0
Iqaluit,75,CA,1623954759,87,63.7506,-68.5145,35.6,14.97
Haines Junction,5,CA,1623954717,44,60.7522,-137.5108,58.95,3.44
Colares,75,PT,1623954963,75,38.7992,-9.4469,65.88,5.01
Hithadhoo,98,MV,1623954733,74,-0.6,73.0833,83.5,8.03
Yellowknife,75,CA,1623954964,62,62.456,-114.3525,55.92,6.91
Ati,67,TD,1623954964,32,13.2154,18.3353,94.24,15.88
Ixtapa,90,MX,1623954824,79,20.7,-105.2,87.22,4.61
Gaogou,100,CN,1623954965,91,34.0175,119.1886,72.34,5.41
Martinsburg,1,US,1623954965,33,39.4562,-77.9639,79.16,4.61
Lebyazh'ye,100,RU,1623954965,90,55.2689,66.4947,61.47,12.73
Pevek,100,RU,1623954732,93,69.7008,170.3133,32.23,5.77
Margate,100,GB,1623954966,86,51.3813,1.3862,68.11,1.99
La Primavera,73,CO,1623954966,67,5.4906,-70.4092,84.31,6.89
Puerto Varas,0,CL,1623954966,58,-41.3195,-72.9854,52.02,2.3
Praia da Vitória,20,PT,1623954967,56,38.7333,-27.0667,70.05,10.49
Arraial do Cabo,75,BR,1623954762,94,-22.9661,-42.0278,66.06,5.75
Avarua,75,CK,1623954725,83,-21.2078,-159.775,77.05,9.22
Maralal,74,KE,1623954967,66,1.0968,36.698,60.49,5.59
Zarubino,100,RU,1623954967,98,42.63,131.0922,56.77,13.02
Salacgrīva,17,LV,1623954968,72,57.7536,24.3581,62.56,7.78
Kapaa,20,US,1623954721,78,22.0752,-159.319,79.2,1.99
Narsaq,16,GL,1623954785,66,60.9167,-46.05,53.82,7.2
Cape Town,20,ZA,1623954535,92,-33.9258,18.4232,59.11,4.61
Poltavka,68,RU,1623954968,52,54.3663,71.7632,70.74,16.93
Lethem,74,GY,1623954969,72,3.3803,-59.7968,82.71,1.48
Poum,29,NC,1623954742,84,-20.2333,164.0167,74.26,5.23
Tuatapere,15,NZ,1623954770,97,-46.1333,167.6833,34.0,3.0
Whitehorse,75,CA,1623954969,44,60.7161,-135.0538,61.11,5.99
Saint George,1,US,1623954661,12,37.1041,-113.5841,108.07,5.01
Misratah,0,LY,1623954727,65,32.3754,15.0925,73.85,17.11
